is_sarcastic,headline
0,Zoomers Boast They Sabotaged Trump Rally Turnout With Fake Reservations
0,Millions Are Unemployed. Crises Abound. Is It Time To Guarantee Public Service Jobs?
0,Investing In Harm Reduction Must Be Included In The Movement To Defund Police
0,"UK Stabbing Attack Declared A Terrorist Incident, Police Say"
0,"Minneapolis Shooting Leaves 1 Dead, 11 Injured"
0,Trump Uses Racist Terms 'Kung Flu' And 'Chinese Virus' To Describe COVID-19
0,"Trump Camp Lashes Media, 'Radical Protesters' For Lackluster Rally Turnout"
0,"After Weeks Of Anticipation, Trump Rally Crowd Underwhelms"
0,Twin Trump 'Bunker Baby' Balloons Make The Scene Ahead Of Tulsa Rally
0,North Face Becomes Biggest Brand To Pull Ads From Facebook In #StopHateforProfit Movement
0,Trump Fires U.S. Attorney Who Led Probes Of The President's Men
0,6 Staffers Working On Trump's Tulsa Rally Test Positive For COVID-19
0,Community Wants Answers After LA Deputies Fatally Shoot Teen Who Ran From Them
0,Police Arrest Peaceful Protester Sitting Alone By Trump Rally Venue
0,Joe Biden Raised More Money Than Donald Trump For The First Time
0,Eskimo Pie Drops 'Derogatory' Name After Nearly A Century
0,Judge Rejects White House Request To Block John Bolton's New Book
0,Florida Governor Ripped For Trying To Pin COVID-19 Spike On Hispanic Workers
0,3 Congressional Races To Watch In New York's Democratic Primary
0,The Coronavirus Pandemic Doesn't Care That We're All Bored With It
0,Mick Mulvaney Spectacularly Self-Owns With His 'One Criticism' Of Donald Trump
0,Tulsa Health Official Has A Stark Wake-Up Call For People Attending Trump Rally
0,What Reforming Police Unions Might Look Like
0,Robert E. Lee Statue Sleeps With The Fishes In Jim Carrey’s New Cartoon
0,Fox News' John Roberts Uses War Analogy To Describe Preparing For Trump Rally In Pandemic
0,Susan Rice Explains Exactly Why Trump's White House Is 'Racist To Its Core'
0,Scathing Supercut Shows How Quickly Trump Flips On His Once Most Trusted Aides
0,"Trump's 'Racist' Toddler Video Removed By Facebook,Twitter After Parent Complains"
0,"50 Years After MLK, Pastors Lead A New Poor People's March"
0,"William Barr Says U.S. Attorney In Manhattan Is Resigning. U.S. Attorney Says No, He's Not."
0,US Attorney Who Oversaw Cases Of Trump Allies Steps Down
0,Trump Compared To Segregationist George Wallace In Scathing Republican Ad
0,"Pressed Repeatedly To Say ‘Black Lives Matter,’ Mike Pence Says ‘All Lives Matter’"
0,Anthony Fauci Warned White House That Tulsa Rally Would Be Dangerous: Report
0,Twitter Users Give Trump's Tulsa Rally Another Name: 'Coronapalooza'
0,GOP Candidate Says Black Democratic Opponent Is 'NOT For ALL Virginians'
0,"Little Sign Of COVID Spike After Nationwide Protests, But Officials Remain Cautious"
0,Trump Sets The Stage For Mayhem At Tulsa Rally
0,Thomas Jefferson Descendant Calls For Removal Of His Famous Ancestor's Statues
0,Juneteenth Will Be An Official Holiday In New York City Starting In 2021
0,The Real Looters Of The Bronx
0,Judge Doubts White House Can Keep Bolton Book Away From Public
0,Coloradans Are Getting Mysterious Texts Bashing Democratic Senate Candidate John Hickenlooper
0,Court Says Trump Rally Attendees Don't Have To Wear Masks
0,Melania Trump Posts Juneteenth Tweet And Gets Reminded Of 'Birther' Past
0,Navy Upholds Firing Of Carrier Captain In Virus Outbreak
0,Juneteenth Brings Anti-Racism Protesters Out From Coast To Coast
0,"TSA Worsened Coronavirus Pandemic, Whistleblower Says"
0,"More Lawmakers, Including Republicans, Support A Juneteenth National Holiday"
0,Donald Trump Vows To Keep Trying To End Dreamer Protections
0,Louisville Officer Is Being Fired 3 Months After Fatally Shooting Breonna Taylor
0,Most Americans Want Juneteenth To Become A National Holiday
0,Trump Threatens Protesters On Juneteenth
0,Exclusive: UK Charities And Schools Blasted For Hosting Mock 'Slave Auctions'
0,Street Art Takes A Stand Against Racism In Solidarity With Black Lives Matter
0,The Worst Of The Coronavirus Pandemic Is Still To Come
0,Malala Graduates From Oxford 8 Years After Surviving Taliban Gunmen
0,Arnold Schwarzenegger Goes Full Terminator On People Politicizing Face Masks
0,Charles Booker Suddenly Has Progressives Excited About Kentucky
0,Conservative Columnist Underscores The Magnitude Of What Bolton’s Book Reveals
0,"Trump Insists He's Healthy, Says West Point Ramp 'Was Like An Ice Skating Rink'"
0,Twitter Users Take Eric Trump To The Woodshed For Lame Swipe At Biden
0,Tennessee Lawmakers Advance 6-Week Abortion Ban In Overnight Vote
0,'Into the Wild' Bus Removed From Alaska Backcountry
0,Twitter Adds 'Manipulated Media' Tag To Trump Tweet About 'Racist Baby'
0,Oklahoma Republicans Speak Out Against Trump Ahead Of Tulsa Rally
0,Fauci Warns Of Troubling ‘Anti-Science’ Beliefs As Nation Battles Coronavirus
0,"Klobuchar Withdraws From VP Search, Says Biden Should Select Woman of Color"
0,Republicans Running Anti-China Campaigns Shrug Off Trump Seeking China Reelection Help
0,Senior State Department Official Resigns Over Trump’s Response To Racial Injustice
0,Americans Are Losing Faith In What The Government Says About Coronavirus
0,"Interior Dept. Consulted ‘Junk Science’ Troll On ‘Transparency’ Rule, Emails Show"
0,The Supreme Court’s Landmark LGBTQ Rights Decision Didn't Address One Crucial Thing
0,CBS Reporter Paula Reid Asks Trump Question All Journalists Should Ask
0,‘We’re Here To Stay’: Dreamers Celebrate DACA Ruling
0,Effigy Found Near California Park Where Nooses Were Recently Removed
0,Florida Sees Record Number Of Coronavirus Cases As Experts Eye Possible New Epicenter
0,"California Issues New, Stricter Statewide Mask Requirement"
0,Facebook Takes Down Trump Campaign Ads Featuring Nazi Iconography
0,Genetically Modified 'Friendly' Mosquitoes Approved For Insect Population Control In the U.S.
0,Senate Confirms Mitch McConnell's 38-Year-Old Protege To Powerful Court Seat
0,Republicans Dismiss Bombshell John Bolton Allegations Against Trump
0,Lin-Manuel Miranda Burns John Bolton For Using 'Hamilton' Song As Book Title
0,Trump Begging Xi For Election Help May Crimp His Efforts To Paint Biden As Soft On China
0,The Trump Administration Has Left Workplace Safety Up To Your Boss
0,Millions Of Hydroxychloroquine Pills That Trump Touted For COVID-19 Are Now In Limbo
0,Video Shows 6 American Oil Executives Jailed In Venezuela
0,Democrats Call For Permanent Protection Of Dreamers After Supreme Court’s DACA Ruling
0,Trump Takes Credit For 'Making Juneteenth Famous' In Dumbfounding Interview
0,Former U.S. Ambassador Jean Kennedy Smith Dies At 92
0,Twitter Users Pile On Trump After He Asks If Supreme Court Dislikes Him
0,"Obama Praises Supreme Court DACA Ruling, Says Biden Would Protect Dreamers"
0,Nancy Pelosi Removes Portraits Of Confederate House Speakers From U.S. Capitol
0,Federal Prison Riot Team That Patrolled D.C. Streets Injured Colleagues In Training Exercises
0,Trump Rips Supreme Court Ruling That Saves DACA: 'Shotgun Blasts Into The Face'
0,GOP Sheriff Who Refused To Enforce Coronavirus Lockdown Tests Positive At White House
0,"Supreme Court Rules Trump Wrongly Ended DACA, Leaves Program In Place"
0,The Tentative Return of Summer Fun Has Begun In Europe
0,"Why Biden Is Trouncing Trump With Young Voters: ‘Old Is Way, Way Better Than Liar’"
0,Atlanta Police Officers Call Out Of Work After Officers Charged In Rayshard Brooks Case
0,1.5 Million More Americans Sought Unemployment Claims Last Week
0,"John Bolton: Trump Not Fit For Office, Putin Thinks He Can 'Play Him Like A Fiddle'"
0,Jennifer McClellan Could Make History As Virginia's First Black Female Governor
0,Tucker Carlson’s Racist Rhetoric Laid Bare With The Help Of Some... Rabbits
0,GOP Senator Tells Trump Fans At High Risk For Coronavirus To Skip Rally
0,Trump's Midnight Twitter Rant Against Bolton Backfires Spectacularly
