is_sarcastic,headline
1,Potentially Promising Covid-19 Vaccine Hits Roadblock After Testing Reveals It’s Just Shotgun
1,Woman Who Hasn’t Attended Protest Yet Hoping Police Brutality Still Going On Next Week Too
1,"8-Month Odyssey Of Distress, Despair Ends In Redemption As Man Finally Gets Around To Buying Batteries For Remote"
1,TikTok Apologizes After Inadvertently Giving Platform To Thousands Of Theater Kids
1,Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue
1,Company Issues Statement Announcing They Stand With Rejected Black Applicants
1,Two Buffalo Police Officers Suspended After Staining Clean Sidewalk With Blood
1,Police Chief Vows To Take Concrete Steps To Better Cover Up Violence
1,Buffalo Police Request Reinforcements Until Elderly-Man Rampages Fully Contained
1,Oakland Athletics Stadium Immediately Converted Into Condos After Team Misses Rent Payment
1,Family Left Elderly Grandmother To Die In Nursing Home But Not Like This
1,U.S. Flag Can’t Believe Fucking Wuss Cries Every Time National Anthem Plays
1,Republican Leaders Claim New Yorkers Will Greet U.S. Military As Liberators
1,Drew Brees Admits He Doesn’t Trust Black People Ever Since Falcons Linebacker Stole Football Straight Out Of His Hands
1,Mark Zuckerberg Announces Virtual Roundtable With American Hate Groups To Better Understand How They Work
1,"‘This Face Will Be The Last Thing You See Before You Die,’ Says Trump In Healing Address To Nation"
1,Primaried Steve King Glad He At Least Won’t Have To Be PC Anymore
1,Police Defend Use Of Non-Lethal Rubber Tires On Protestors
1,Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’
1,"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone"
1,Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot
1,"Trump Throws Garbage Can Through McDonald’s Window Before Looting $2,000 In Big Macs"
1,Police Didn’t Spend Millions On Awesome Tank Just To Let Protests Stay Peaceful
1,Sweatshop Worker Devastated To Hear Jacket She Worked So Hard On Looted
1,"‘Let Them Have Eric,’ Screams Trump While Pushing Son Through Door Of Bunker"
1,Miami Mayor Suggests Citizens May Be Able To Resume Grinding On Each Other By July 1
1,Study Finds Majority Of Times Either Too Early Or Too Late
1,Fed Chairman Downloads Budgeting App To Help Manage Nation’s Economy
1,"‘I Will Not Be Censored,’ Yells Trump Chaining Himself To Phone Displaying Twitter Homepage"
1,Woman Needs To Shut Up And Allow Man To Be Ally
1,Man Questions If It Really Necessary For Protesters To Be Black
1,Protestors Criticized For Looting Businesses Without Forming Private Equity Firm First
1,White House Press Secretary: ‘Trump’s Critics Will Seize On Any Six-Figure Death Toll That Suits Their Narrative’
1,‘Mommy Had To Go To The Hospital Today’ Starts Instagram Chihuahua’s Darkest Post To Date
1,WHO Warns Covid-19 Could Mean End To Blowing Water Through Pool Noodle Into Friends’ Faces
1,Inspirational ‘Hang In There’ Chalk Message The Thing That Finally Breaks Entire Neighborhood
1,Jack Dorsey Assures Twitter Users That Company Having Most Idiotic Possible Internal Conversations About Trump’s Account
1,Woman Knows Current Hardships Just Preparing Her To One Day Give Up Completely
1,Architect Has Amazing Idea For Replacing Freedom Tower If Worst Were To Happen Again
1,Half Hour Of Constant Rubbing Somehow Fails To Soothe Irritated Eye
1,Family Increasingly Terrified That Ghost Haunting House Might Be Pedophile
1,Minneapolis Police Now Requiring Officers To Undergo Ergonomics Training To Better Protect Knees
1,"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates"
1,Trump: ‘Even One Death That Makes Me Look Bad Is A Tragedy’
1,Man Always Self-Sabotaging By Working To The Best Of His Ability
